SHAPE=128->256->4
Episode, Epsilon, Reward, Loss, LastT
0, 1.00000, -128.16409, 0.00000, 72
1, 1.00000, -100.55559, 0.00000, 68
2, 1.00000, -121.98876, 0.00000, 126
3, 1.00000, -92.45336, 0.00000, 66
4, 1.00000, -134.66958, 0.00000, 76
5, 1.00000, -289.74405, 0.00000, 85
6, 0.95646, -249.53964, 111.33105, 100
7, 0.91895, -108.83360, 108.58861, 79
8, 0.87939, -285.04431, 106.19205, 87
9, 0.82858, -125.84908, 103.79826, 118
10, 0.79807, -68.22089, 102.42361, 74
11, 0.74522, -97.30380, 96.87965, 136
12, 0.69761, -102.30479, 92.52341, 131
13, 0.65337, -127.25684, 88.50682, 130
14, 0.61041, -267.07574, 84.16785, 135
15, 0.57803, -117.30068, 80.39462, 108
16, 0.54572, -216.25928, 76.44496, 114
17, 0.50729, -102.02255, 72.27319, 145
18, 0.43814, -292.14798, 64.94080, 292
19, 0.38684, -40.17604, 59.36981, 248
20, 0.35478, -7.55487, 56.08012, 172
21, 0.30156, -174.60151, 51.10729, 324
22, 0.26176, -48.19249, 47.39190, 282
23, 0.22812, -151.86477, 44.35255, 274
24, 0.20828, -29.60347, 42.53617, 181
25, 0.17872, -37.05781, 39.78698, 305
26, 0.10839, -106.15021, 33.04157, 999
27, 0.09651, -12.45699, 31.80534, 231
28, 0.05853, -77.48695, 27.48338, 999
29, 0.05507, -17.58250, 27.04192, 121
30, 0.03532, -255.95428, 24.19661, 887
31, 0.02142, -132.20594, 21.73348, 999
32, 0.01299, -118.57358, 19.76228, 999
33, 0.01000, -106.10149, 18.14872, 999
34, 0.01000, -61.52432, 16.81105, 999
35, 0.01000, -16.48972, 15.71111, 999
36, 0.01000, -25.90803, 14.73019, 999
37, 0.01000, -56.19302, 13.88626, 999
38, 0.01000, -96.74902, 13.13337, 999
39, 0.01000, -40.08627, 12.48675, 999
40, 0.01000, -62.40707, 11.90797, 999
41, 0.01000, -82.54320, 11.38669, 999
42, 0.01000, -134.37026, 10.91350, 999
43, 0.01000, -56.79368, 10.48593, 999
44, 0.01000, -102.99323, 10.09820, 999
45, 0.01000, -96.69359, 9.73392, 999
46, 0.01000, -67.81606, 9.40190, 999
47, 0.01000, -129.70509, 9.09394, 999
48, 0.01000, -131.70841, 8.81493, 999
49, 0.01000, -201.71112, 8.58281, 877
50, 0.01000, -91.06119, 8.33452, 999
51, 0.01000, -16.69970, 8.09786, 999
52, 0.01000, -24.26958, 7.88512, 999
53, 0.01000, -8.18873, 7.68215, 999
54, 0.01000, -6.58019, 7.48784, 999
55, 0.01000, -39.92395, 7.30698, 999
56, 0.01000, -31.98924, 7.13522, 999
57, 0.01000, -31.37439, 6.96726, 999
58, 0.01000, -76.19962, 6.81231, 999
59, 0.01000, -49.70452, 6.66849, 999
60, 0.01000, -39.95740, 6.52554, 999
61, 0.01000, -51.18739, 6.38931, 999
62, 0.01000, -37.43662, 6.25980, 999
63, 0.01000, -40.67169, 6.13882, 999
64, 0.01000, -32.72544, 6.02461, 999
65, 0.01000, -18.55261, 5.91283, 999
66, 0.01000, -48.81851, 5.80842, 999
67, 0.01000, -51.13980, 5.70728, 999
68, 0.01000, -3.68358, 5.60917, 999
69, 0.01000, -42.43465, 5.51892, 999
70, 0.01000, -31.46214, 5.42743, 999
71, 0.01000, -51.35642, 5.34204, 999
72, 0.01000, -22.92644, 5.26013, 999
73, 0.01000, -64.86287, 5.18094, 999
74, 0.01000, -14.37807, 5.10314, 999
75, 0.01000, -36.09100, 5.03015, 999
76, 0.01000, -33.13119, 4.96094, 999
77, 0.01000, 14.93061, 4.89108, 999
78, 0.01000, -31.51046, 4.82544, 999
79, 0.01000, -29.53877, 4.76510, 999
80, 0.01000, -77.19755, 4.70245, 999
81, 0.01000, -8.84081, 4.64329, 999
82, 0.01000, -36.74437, 4.58471, 999
83, 0.01000, -10.09016, 4.52687, 999
84, 0.01000, -20.80376, 4.47390, 999
85, 0.01000, -70.08898, 4.42241, 999
86, 0.01000, -15.48454, 4.37382, 999
87, 0.01000, -38.00445, 4.32370, 999
88, 0.01000, -4.74548, 4.27350, 999
89, 0.01000, -25.37337, 4.22690, 999
90, 0.01000, -19.88977, 4.18051, 999
91, 0.01000, -34.52144, 4.13676, 999
92, 0.01000, -33.91886, 4.09452, 999
93, 0.01000, -53.30577, 4.05054, 999
94, 0.01000, 1.76149, 4.00868, 999
